Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022-23,NBA,NYK,12,13,5,,25,6-Jun,218,,25,6075,1037,2286,0.454,273,853,0.32,764,1433,0.533,493,618,0.798,317,860,1177,590,174,110,351,547,2840
2021-22,NBA,NYK,37,45,5,,26,6-Jun,218,,82,19780,3088,7069,0.437,1082,3029,0.357,2006,4040,0.497,1473,1980,0.744,941,2841,3782,1793,570,399,1087,1672,8731
2020-21,NBA,NYK,41,31,3,,25.6,6-Jun,217,,72,17430,2839,6225,0.456,847,2163,0.392,1992,4062,0.49,1181,1506,0.784,696,2554,3250,1541,507,365,932,1473,7706
2019-20,NBA,NYK,21,45,5,,24.5,6-Jun,222,,66,15965,2638,5896,0.447,631,1872,0.337,2007,4024,0.499,1076,1550,0.694,795,2274,3069,1456,504,313,946,1464,6983
2018-19,NBA,NYK,17,65,5,,23.4,7-Jun,220,,82,19780,3134,7241,0.433,823,2421,0.34,2311,4820,0.479,1484,1956,0.759,857,2811,3668,1646,557,422,1151,1713,8575
2017-18,NBA,NYK,29,53,4,,26.3,7-Jun,219,,82,19830,3334,7193,0.464,673,1914,0.352,2661,5279,0.504,1225,1557,0.787,859,2752,3611,1912,552,421,1207,1682,8566
2016-17,NBA,NYK,31,51,3,,27.3,7-Jun,216,,82,19855,3244,7256,0.447,704,2022,0.348,2540,5234,0.485,1364,1731,0.788,983,2723,3706,1786,581,455,1139,1668,8556
2015-16,NBA,NYK,32,50,3,,27.2,7-Jun,226,,82,19805,3022,6886,0.439,610,1762,0.346,2412,5124,0.471,1411,1753,0.805,850,2788,3638,1682,467,466,1099,1616,8065
2014-15,NBA,NYK,17,65,5,,26.9,6-Jun,217,,82,19855,2882,6726,0.428,560,1614,0.347,2322,5112,0.454,1211,1575,0.769,867,2443,3310,1746,575,382,1206,1768,7535
2013-14,NBA,NYK,37,45,3,,28.3,6-Jun,219,,82,19855,3027,6739,0.449,759,2038,0.372,2268,4701,0.482,1271,1670,0.761,870,2437,3307,1641,631,367,1063,1815,8084
