Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,point
Manhattan,East Harlem (North),Pleasant Village Community Garden,"342 Pleasant Ave., New York, NY 10035",Pleasant Village Community Garden,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"Not accepted: meat, bones, or dairy",http://facebook.com/pleasantvillagecommunitygarden,111,8,,,,40.79667,-73.93172,25,573,POINT (-73.931720000093 40.796670000242)
Brooklyn,East New York (North),East New York Farms: Poppa & Momma Jones Historical Garden,"337 Van Siclen Ave, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,37,,,,40.671653,-73.889806,75,504,POINT (-73.8898059998664 40.6716530004474)
Manhattan,Morningside Heights,Columbia Sunday Greenmarket,Broadway between 114th St. and 115th St.,GrowNYC,Year Round,Sundays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,109,7,,,,40.807138,-73.96437,26,541,POINT (-73.964370000517 40.8071380001597)
Staten Island,New Dorp-Midland Beach,*CLOSED FOR THE SEASON* Midland Beach,Bedford Ave and Mason Ave,Snug Harbor Youth,Seasonal,Wednesdays (Start Time: 3:30 PM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",https://snug-harbor.org/,502,50,11202,,,40.575904,-74.09677,122,642,POINT (-74.0967700003252 40.5759040004237)
Brooklyn,Bushwick (West),EL Garden,"120 Jefferson St, Brooklyn, NY 11206",EL Garden,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://www.facebook.com/elgardenbushwickpage/,304,34,,,,40.69955,-73.93066,83,554,POINT (-73.9306600002784 40.6995500003003)
Queens,Queensbridge-Ravenswood-Dutch Kills,Commuter Composting at 21 St-Queensbridge F,NW Corner of 21st street at 41st Ave,NYC Compost Project Hosted by Big Reuse,Year Round,Tuesdays (Start Time: 8:00 AM - End Time:  10:00 AM),"Not accepted: meat, bones, or dairy",,401,26,,,,40.7536858,-73.9422838,114,472,POINT (-73.9422838003397 40.7536858001108)
Brooklyn,Prospect Park,Nurture BK,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",Nurture BK,Year Round,Sundays (Start Time: 9:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/nurturebk_compost/,355,39,,,,40.654917,-73.962083,78,527,POINT (-73.9620829995404 40.6549169995562)
Staten Island,West New Brighton-Silver Lake-Grymes Hill,Olivet Heavenly Harvest,"97 Myrtle Avenue, Staten Island, NY",Olivet Heavenly Harvest,Closed During Winter,Saturdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",olivetheavenlyharvest.com,501,49,,,,40.63034,-74.11616,120,637,POINT (-74.1161600004983 40.630340000296)
Brooklyn,Prospect Heights,Prospect Heights Food Scrap Drop-off,Park Place & Carlton Ave,GrowNYC,Year Round,Thursdays (Start Time: 8:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,308,35,,,,40.67741,-73.972226,78,522,POINT (-73.9722259995149 40.6774099997394)
Manhattan,Tribeca-Civic Center,Tribeca Greenmarket,Greenwich St. & Duane St,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,101,1,,,,40.717424,-74.010793,1,440,POINT (-74.0107929999945 40.7174239996978)
Queens,South Ozone Park,Office of Assemblymember Anderson,131-15 Rockaway Boulevard,Assemblymember Anderson,Year Round,Tuesdays and Wednesdays (Start Time: 12:00 PM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",https://nyassembly.gov/mem/Khaleel-M-Anderson,410,28,180,4116950017,4253040,40.6749729,-73.8066806,106,632,POINT (-73.8066806002029 40.6749728996028)
Bronx,Crotona Park East,Synergi Urban Farm 2.0,"1211 Hoe Ave, Bronx, NY 10459",GreenFeen OrganiX,Year Round,Saturdays (Start Time: 1:00 PM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/holisticsynergi/,203,17,,,,40.82914,-73.89114,42,586,POINT (-73.8911399996039 40.8291399999663)
Brooklyn,East New York (North),East New York Farms: Nehemiah Ten Community Garden,"567 Barbey St, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,42,,,,40.668722,-73.885866,75,500,POINT (-73.8858660005685 40.668722000287)
Manhattan,Hamilton Heights-Sugar Hill,Frank White Memorial Garden,"506 West 143rd Street, New York, NY 10031",Brotherhood/Sister Sol,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Garden staff will be available for questions or concerns from 10am-6pm. Not accepted: meat, bones, or dairy",www.brotherhood-sistersol.org,109,7,,,,40.824235,-73.94983,30,489,POINT (-73.9498299997803 40.824235000352)
Queens,Astoria (East)-Woodside (North),Astoria Pug: Newtown,"30-36 41st Street, Astoria, NY",Astoria Pug,Year Round,Fridays (Start Time: 11:00 AM - End Time:  4:30 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,401,22,149,4006810001,4011271,40.762667,-73.915111,114,468,POINT (-73.9151110000937 40.762667000264)
Queens,Astoria (Central),"S/E Corner of Crescent St & 30 Drive, on Crescent St","S/E Corner of Crescent St & 30 Drive, on Crescent St",Department of Sanitation,Year Round,24/10,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.766637,-73.926131,114,457,POINT (-73.9261309995308 40.766637000243)
Bronx,University Heights (South)-Morris Heights,Community Access - Davidson Ave,1750 Davidson Ave,GrowNYC,Year Round,Thursdays (Start Time: 8:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",www.communityaccess.org/,205,14,217,2028610067,2115886,40.848245,-73.913085,46,600,POINT (-73.9130849995975 40.8482449995834)
Queens,Kew Gardens,Kew Gardens Food Scrap Drop-off,Metropolitan Ave & Audley St,GrowNYC,Year Round,Thursdays (Start Time: 9:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,409,29,,,,40.707626,-73.836079,102,618,POINT (-73.8360790000754 40.7076260004369)
Bronx,Norwood,Norwood Farmstand,E Gun Hill Road and Dekalb Ave. (SE corner),GrowNYC,Year Round,Thursdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,207,11,,,,40.88201,-73.880346,52,605,POINT (-73.880345999524 40.8820099999744)
Queens,Rego Park,The Compost Collective,"The corner of Yellowston Blvd, and Kessel Street Forest Hills, NY 11375",The Compost Collective,Year Round (Except February),Saturdays (Start Time: 12:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/pg/thecompostcollective/about/?ref=page_internal,406,29,,,,40.71645,-73.85778,112,617,POINT (-73.8577800004576 40.7164499998614)
Bronx,Parkchester,Parkchester Greenmarket,Westchester Ave and White Plains Rd.,GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,209,18,72,,,40.83343,-73.861655,43,590,POINT (-73.8616549994854 40.8334299999457)
Queens,College Point,College Point FSDO,College Point Blvd & 14th Ave,Coastal Preservation Network,Year Round,Fridays (Start Time: 8:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",www.coastalpreservation.org,407,19,,,,40.7859379,-73.8458402,109,628,POINT (-73.8458401998795 40.7859378996077)
Queens,Astoria (Central),31 St between 31 Ave and Broadway,31 St between 31 Ave and Broadway,Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76258,-73.92502,114,458,POINT (-73.9250200005324 40.7625800003379)
Manhattan,Inwood Hill Park,Inwood Greenmarket,Seaman Ave and Isham St (N corner),GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,112,10,,,,40.870106,-73.920792,34,532,POINT (-73.9207919995942 40.8701060000333)
Manhattan,Hell's Kitchen,Mathews-Palmer Park,"437 W 45 St, New York, NY 10036",Mathews-Palmer Park,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"Please register to participate at bit.ly/HKcompost Setup is inside the park gate, under the mosaic panels, to the right of the park house door. Lids must remain closed and all food scraps must be placed INSIDE the bins",,104,3,,,,40.76113,-73.99292,18,517,POINT (-73.9929199999876 40.7611299999779)
Queens,Astoria (Central),S/E Corner of 31 Ave and 35 St,S/E Corner of 31 Ave and 35 St,Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76268,-73.92013,114,446,POINT (-73.9201299996767 40.762680000208)
Queens,East Elmhurst,East Elmhurst Community School,"26-25 97th St, Queens, NY 11369",East Elmhurst Community School,Year Round,Wednesdays (Start Time: 1:00 PM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",,403,21,,,,40.7616519,-73.8720745,115,485,POINT (-73.872074500339 40.7616518998521)
Queens,Astoria (Central),N/W corner of 30th Dr and Crescent St (on Crescent St.),N/W corner of 30th Dr and Crescent St (on Crescent St.),Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76680635230806,-73.92575056680273,114,453,POINT (-73.9257505669846 40.7668063521812)
Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow,Rossville,Gladwin St and Pitney Ave,Snug Harbor Youth,Year Round,Mondays (Start Time: 12:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://snug-harbor.org/,503,51,226,,,40.530764,-74.222539,123,622,POINT (-74.2225389996724 40.5307639996743)
Brooklyn,Flatbush (West)-Ditmas Park-Parkville,Cortelyou Greenmarket,Argyle Rd and Cortelyou Rd,GrowNYC,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,314,40,520,,,40.641438,-73.966333,70,596,POINT (-73.9663329999846 40.6414379996649)
Brooklyn,Kensington,Kensington Food Scrap Drop-off,McDonald Ave & Albemarle Rd,GrowNYC,Year Round,Saturdays (Start Time: 8:30 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,312,39,,,,40.64496,-73.98016,66,549,POINT (-73.9801600005708 40.6449599999621)
Manhattan,Hamilton Heights-Sugar Hill,Jenny's Garden,699 West 138th Street,Jenny's Garden,Year Round,Saturdays (weather-permitting) (Start Time: 11:00 AM - End Time:  1:00 PM),"Year Round: check social media for open hour updates + November - March only open on Saturday 11-12pm. ""WEATHER PERMITTING! Check IG/FB for weekend updates. Not accepted: meat, bones, or dairy Please DO NOT leave bags of food scraps by gate when the gard",https://www.facebook.com/JennysGardenRiverside,109,7,225,,,40.823225,-73.95617,30,490,POINT (-73.9561699998206 40.8232249999526)
Bronx,Longwood,Kelly Street Garden,"924 Kelly St, The Bronx, NY 10459",Volunteers at Kelly Street Garden,Year Round,Saturdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/kellyst.garden/,202,17,,,,40.820124,-73.895674,41,585,POINT (-73.8956740004707 40.8201240003835)
Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn Borough Hall Saturday Greenmarket,Court St. and Montague St.,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,302,33,9,,,40.693609,-73.990261,84,564,POINT (-73.990260999535 40.6936089999294)
Bronx,Wakefield-Woodlawn,Praxis Housing,4339 White Plains Road,Staff at Praxis Housing,Year Round,Fridays (Start Time: 9:00 AM - End Time:  1:00 PM),"Enter through rear gate to drop off food scraps in brown bins. Not accepted: meat, bones, or dairy",https://www.praxishousing.org,212,11,418,2050390007,2118535,40.89683,-73.85594,47,613,POINT (-73.8559399994897 40.8968299996381)
Manhattan,Financial District-Battery Park City,SmartComposting: Zuccotti Park,Zuccotti Park (East side),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,13,1000627501,1000000,40.70905,-74.01072,1,426,POINT (-74.0107199997439 40.7090499997837)
Queens,Sunnyside,Woodside Sunnyside Composting,"38-63-38-1 50th St, Woodside, NY 11377",Volunteers at Woodside Sunnyside Composting,Year Round,"Sundays (Start Time: 2:00 PM - End Time:  5:00 PM (Spring, Summer))","Not accepted: meat, bones, or dairy",https://www.woodsidesunnysidecomposting.org/,402,26,,,,40.75013,-73.91369,108,478,POINT (-73.9136899998764 40.7501300003627)
